participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
613231c7b264c7a16314d253,Filler,21,NA,0,NA,3-Neutral,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,94,comprehension,1,Yes,Yes,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,16,NA,2,NA,5-Very Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,89,comprehension,3,No,Yes,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,17,NA,4,NA,4-Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,90,comprehension,5,No,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-Prep-NP,9,of_PP,6,NA,2-Unnatural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,28,comprehension,7,Yes,Yes,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-P-NP,5,other_NP,8,NA,3-Neutral,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,34,NA,9,NA,4-Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,107,comprehension,10,Yes,Yes,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,10,NA,11,NA,5-Very Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,83,comprehension,12,No,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,14,NA,13,NA,5-Very Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,87,comprehension,14,No,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-Prep-NP,2,of_PP,15,NA,2-Unnatural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,6,comprehension,16,No,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-Prep-NP,3,of_base,17,NA,5-Very Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,7,comprehension,18,Yes,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,11,NA,19,NA,3-Neutral,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,84,comprehension,20,No,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,Filler,29,NA,21,NA,5-Very Natural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,102,comprehension,22,Yes,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-P-NP,6,other_PP,23,NA,2-Unnatural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-Prep-NP,1,of_PP,24,NA,3-Neutral,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,3,comprehension,25,Yes,No,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,V-Prep-NP,7,of_NP,26,NA,2-Unnatural,2024-05-08 07:35:37,Yes,UK
613231c7b264c7a16314d253,comprehension,21,comprehension,27,Yes,No,2024-05-08 07:35:37,Yes,UK
