experiment,item,condition,sentence,prompt,question_type,options,literal_response,config
V-Prep-NP,1,of_base,The team consisted of experienced professionals.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,1,of_NP,It was experienced professionals that the team consisted of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,1,of_PP,It was of experienced professionals that the team consisted.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,2,of_base,The labor union approved of the strike.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,2,of_NP,It was the strike that the labor union approved of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,2,of_PP,It was of the strike that the labor union approved.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,3,of_base,The child was afraid of the clown.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,3,of_NP,It was the clown that the child was afraid of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,3,of_PP,It was of the clown that the child was afraid.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,4,of_base,The antelope were aware of the approaching lions.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,4,of_NP,It was the approaching lions that the antelope were aware of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,4,of_PP,It was of the approaching lions that the antelope were aware.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,5,of_base,The mug was made of expensive clay.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,5,of_NP,It was expensive clay that the mug was made of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,5,of_PP,It was of expensive clay that the mug was made.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,6,of_base,The boys were scared of the strong girl.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,6,of_NP,It was the strong girl that the boys were scared of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,6,of_PP,It was of the strong girl that the boys were scared.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,7,of_base,The teacher disapproved of the large language model.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,7,of_NP,It was the large language model that the teacher disapproved of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,7,of_PP,It was of the large language model that the teacher disapproved.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,8,of_base,The young girl dreamt of becoming a scientist.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
V-Prep-NP,8,of_NP,It was becoming a scientist that the young girl dreamt of.,How natural does the sentence sound?,multiple_choice,5-Very Natural_4-Natural_3-Neutral_2-Unnatural_1-Very Unnatural,NA,
